High School Name, Code, State ,
EASTWOOD CHRISTIAN SCHOOL,11889,AL,
EDGEWOOD ACADEMY,10963,AL,
ELBA HIGH SCHOOL,10950,AL,
ELKMONT HIGH SCHOOL,10955,AL,
ELLWOOD CHRISTIAN ACADEMY,12427,AL,
ELMORE COUNTY HIGH SCHOOL,10940,AL,
EMERALD MOUNTAIN CHRISTIAN SCHOOL,11722,AL,
EMMANUEL CHRISTIAN SCHOOL,10909,AL,
ENTERPRISE HIGH SCHOOL,10980,AL,
ENTERPRISE PREPARATORY ACADEMY-UPPER CAMPUS,10989,AL,
ENTERPRISE STATE JR COLLEGE,1213,AL,
EPHESUS ACADEMY,10429,AL,
ESCAMBIA ACADEMY,10586,AL,
ESCAMBIA COUNTY HIGH SCHOOL,10200,AL,
ETOWAH HIGH SCHOOL,10210,AL,
EUFAULA HIGH SCHOOL,10995,AL,
EVANGEL CHRISTIAN ACADEMY,11893,AL,
EVANGEL CHRISTIAN SCHOOL,10026,AL,
EVANGEL CLASSICAL CHRISTIAN,10028,AL,
EXCALIBUR CHRISTIAN SCHOOL,11693,AL,
EXCEL HIGH SCHOOL,11040,AL,
EXPLORATORIUM ACADEMY INCORPORATED,11898,AL,
FAIRFIELD HIGH PREPARATORY SCHOOL,11055,AL,
FAIRHOPE HIGH SCHOOL,11060,AL,
FAIRVIEW HIGH SCHOOL,10800,AL,
FAITH ACADEMY,10943,AL,
FAITH CHRISTIAN ACADEMY,12142,AL,
FAITH CHRISTIAN ACADEMY,11127,AL,
FAITH CHRISTIAN ACADEMY,12631,AL,
FAITH CHRISTIAN HIGH SCHOOL,10124,AL,
FAITH COVENANT ACADEMY,11482,AL,
FALKVILLE HIGH SCHOOL,11070,AL,
FAYETTE COUNTY HIGH SCHOOL,11075,AL,
FAYETTEVILLE HIGH SCHOOL,12567,AL,
FIRST ASSEMBLY CHRISTIAN SCHOOL,10156,AL,
FIRST ASSEMBLY OF GOD CHRISTIAN SCHOOL,12326,AL,
FIRST BAPTIST OPELIKA CHRISTIAN SCHOOL,12056,AL,
FIVE POINTS HIGH SCHOOL,11095,AL,
FLINT HILL CHRISTIAN SCHOOL,10309,AL,
FLOMATON HIGH SCHOOL,11100,AL,
FLORALA HIGH SCHOOL,11105,AL,
FLORENCE CHRISTIAN ACADEMY,11119,AL,
FLORENCE HIGH SCHOOL,11126,AL,
FOLEY HIGH SCHOOL,11140,AL,
FOREST PARK SCHOOL,10372,AL,
FORT DALE ACADEMY,11298,AL,
FORT PAYNE HIGH SCHOOL,11150,AL,
FRIENDSHIP MISSION BAPTIST CHRISTIAN ACADEMY,12222,AL,
FRUITDALE HIGH SCHOOL,11175,AL,
FULTONDALE HIGH SCHOOL,12385,AL,
FYFFE HIGH SCHOOL,11180,AL,
G W CARVER HIGH SCHOOL FOR HEALTH PROFESSIONS ENGI,10405,AL,
GADSDEN CITY HIGH SCHOOL,11192,AL,
GADSDEN STATE COMMUNITY COLLEGE,1262,AL,
GAN GAN AND PA PA LEARNING RESOURCE CENTER,10356,AL,
GARDENDALE HIGH SCHOOL,11208,AL,
GASTON HIGH SCHOOL,11197,AL,
GATEWAY ACADEMY,11888,AL,
GAYLESVILLE HIGH SCHOOL,11210,AL,
GENEVA COUNTY HIGH SCHOOL,11380,AL,
GENEVA HIGH SCHOOL,11220,AL,
GEORGE W LONG HIGH SCHOOL,12487,AL,
GERALDINE SCHOOL,11235,AL,
GIFT OF EDUCATION,11374,AL,
GLAD TIDINGS CHRISTIAN ACADEMY,10074,AL,
GLEN IRIS BAPTIST SCHOOL,10359,AL,
GLENCOE HIGH SCHOOL,11240,AL,
GLENWOOD SCHOOL,12137,AL,
GLORLAND CHRISTIAN ACADEMY,10351,AL,
GODS CHURCH CHRISTIAN ACADEMY,10313,AL,
GOOD HOPE HIGH SCHOOL,10802,AL,
GOOD SAMARITAN CHRISTIAN SCHOOL,10362,AL,
GOOD SHEPHERD ACADEMY,12614,AL,
GORDO HIGH SCHOOL,11255,AL,
GOSHEN HIGH SCHOOL,11270,AL,
GOSPEL FELLOWSHIP SCHOOL,11279,AL,
GRACE BAPTIST ACADEMY,12447,AL,
GRACE CHRISTIAN ACADEMY,11541,AL,
GRACE TABERNACLE BAPTIST SCHOOL,11802,AL,
GREATER MACEDONIA CHRISTIAN ACADEMY,11884,AL,
GREENE COUNTY HIGH SCHOOL,11015,AL,
GREENSBORO HIGH SCHOOL,11295,AL,
GREENVILLE HIGH SCHOOL,11299,AL,
GULF SHORES HIGH SCHOOL,11334,AL,
GUNTERSVILLE HIGH SCHOOL,11340,AL,
HACKLEBURG HIGH SCHOOL,11350,AL,
HALE COUNTY HIGH SCHOOL,11940,AL,
HALEYVILLE CENTER OF TECHNOLOGY,11354,AL,
HALEYVILLE HIGH SCHOOL,11355,AL,
HAMILTON HIGH SCHOOL,11365,AL,
HANCEVILLE HIGH SCHOOL,11375,AL,
HANDLEY HIGH SCHOOL,12310,AL,
HARTSELLE HIGH SCHOOL,11390,AL,
HARVEST CHRISTIAN SCHOOL,12097,AL,
HARVEST CHRISTIAN SCHOOL,10312,AL,
HARVEST CHRISTIAN SCHOOLS,12006,AL,
HARVEST TIME CHRISTIAN ACADEMY,11920,AL,
HARVEST TIME CHRISTIAN BOARDING SCHOOL,10691,AL,
HATTON HIGH SCHOOL,12650,AL,
HAYDEN HIGH SCHOOL,11400,AL,
HAZEL GREEN HIGH SCHOOL,11415,AL,
HEADLAND HIGH SCHOOL,11425,AL,
HERITAGE ACADEMY,10364,AL,
HEWITT-TRUSSVILLE HIGH SCHOOL,12675,AL,
HIGHER GROUND ACADEMY,10488,AL,
HIGHLAND HOME SCHOOL,11445,AL,
HILLCREST HIGH SCHOOL,11030,AL,
HILLCREST HIGH SCHOOL,12685,AL,
HOKES BLUFF HIGH SCHOOL,11200,AL,
HOLLY POND HIGH SCHOOL,11455,AL,
HOLT HIGH SCHOOL,11460,AL,
HOLTVILLE HIGH SCHOOL,10850,AL,
HOLY COMFORTER EPISPOCAL DAY SCHOOL,11196,AL,
HOLY FAMILY HIGH SCHOOL,10970,AL,
HOLY SPIRIT CATHOLIC HIGH SCHOOL,12691,AL,
HOMELAND CHRISTIAN ACADEMY,12799,AL,
HOMEWOOD HIGH SCHOOL,11464,AL,
HOOPER ACADEMY,11461,AL,
HOOVER HIGH SCHOOL,10328,AL,
HOPE ACADEMY,12589,AL,
HOPE ACADEMY,11596,AL,
HOPE CHRISTIAN SCHOOL,10021,AL,
HORSESHOE BEND SCHOOL,10050,AL,
HOUSTON ACADEMY,10912,AL,
HOUSTON COUNTY HIGH SCHOOL,10745,AL,
HUBBERTVILLE HIGH SCHOOL,11085,AL,
HUEYTOWN HIGH SCHOOL,11463,AL,
HUFFMAN HIGH SCHOOL,10366,AL,
HUNTINGTON LEARNING CENTER,11883,AL,
HUNTSVILLE CHRISTIAN ACADEMY,11484,AL,
HUNTSVILLE HIGH SCHOOL,11485,AL,
IDER HIGH SCHOOL,11505,AL,
INDIAN SPRINGS SCHOOL,11440,AL,
ISABELLA HIGH SCHOOL,11700,AL,
J B PENNINGTON HIGH SCHOOL,10450,AL,
J B SHELTON ACADEMY INC,11849,AL,
J F SHIELDS HIGH SCHOOL,10275,AL,
J O JOHNSON HIGH SCHOOL,11469,AL,
J U BLACKSHER HIGH SCHOOL,12748,AL,
JACKSON ACADEMY,11519,AL,
JACKSON HIGH SCHOOL,11520,AL,
JACKSONVILLE CHRISTIAN ACADEMY,11528,AL,
JACKSONVILLE HIGH SCHOOL,11530,AL,
JAMES CLEMENS HIGH SCHOOL,11701,AL,
JAMES H FAULKNER STATE COMMUNITY COLLEGE,1939,AL,
JEFFERSON CHRISTIAN ACADEMY,10369,AL,
JEFFERSON COUNTY INTERNATIONAL BACCALAUREATE SCHOO,11459,AL,
JEFFERSON DAVIS COMMUNITY COLLEGE,1355,AL,
JEFFERSON DAVIS HIGH SCHOOL,11892,AL,
JEFFERSON STATE COMMUNITY COLLEGE,1352,AL,
JEMISON HIGH SCHOOL,11550,AL,
JERICHO WAY CHRISTIAN ACADEMY,10761,AL,
JOHN CARROLL CATHOLIC HIGH SCHOOL,10370,AL,
JOHN ESSEX HIGH SCHOOL,10880,AL,
JOHN TYLER MORGAN ACADEMY,12433,AL,
KATE DUNCAN SMITH D A R SCHOOL,11285,AL,
KEITH MIDDLE-HIGH SCHOOL,12075,AL,
KING JAMES COMMUNICATIONS ALTERNATIVE SCHOOL,10864,AL,
KINGWOOD CHRISTIAN SCHOOL,10022,AL,
KINSTON HIGH SCHOOL,11570,AL,
L B WALLACE SCHOOL,11951,AL,
L B WALLACE STATE JUNIOR COLLEGE,1429,AL,
LAFAYETTE HIGH SCHOOL,11585,AL,
LAKESIDE SCHOOL,10996,AL,
LAKEVIEW CHRISTIAN SCHOOL,10224,AL,
LAMAR COUNTY HIGH SCHOOL,12760,AL,
LANETT HIGH SCHOOL,11590,AL,
LANIER SENIOR HIGH SCHOOL,11910,AL,
LAUDERDALE COUNTY HIGH SCHOOL,12340,AL,
LAUREL HIGH SCHOOL,10047,AL,
