High School	 StreetAddress	 City	 State	 Zip		
North Hardin High School	801 S Logsdon Pkwy	Radcliff	 KY 40160			
North Oldham High School	1815 S Hwy 1793	Goshen	 KY 40026			
Notre Dame Academy	1699 Hilton Dr	Park Hills	 KY 41011			
Oakdale Christian High School	5801 Beattyville Road	Jackson	 KY 41339			
Ohio County High School	1400 S Main St	Hartford	 KY 42347			
Oldham County High School	1150 N Hwy 393	Buckner	 KY 40010			
Owen County High School	2340 Hwy 22 E	Owenton	 KY 40359			
Owensboro Catholic High School	1524 West Parrish Avenue	Owensboro	 KY 42301			
Paducah Tilghman High School	2400 Washington St	Paducah	 KY 42001			
Paintsville High School	225 2nd St	Paintsville	 KY 41240			
Paris High School	308 W 7th St	Paris	 KY 40361			
Paul G Blazer High School	1500 Blazer Blvd	Ashland	 KY 41102			
Pendleton County High School	2359 Hwy 27 N	Falmouth	 KY 41040			
Phelps High School	11580 Highway 632	Phelps	 KY 41553			
Pike Central High School	100 Winners Circle Drive	Pikeville	 KY 41501			
Pikeville High School	401 North Mayo Trail	Pikeville	 KY 41501			
Pleasure Ridge Park High School	5901 Greenwood Road	Louisville	 KY 40258			
Powell County High School	700 W College Ave	Stanton	 KY 40380			
Prestonsburg High School	825 Blackcat Blvd	Prestonsburg	 KY 41653			
Providence High School	301 Cedar St	Providence	 KY 42450			
Pulaski Central Alternative School	500 Chandler St	Somerset	 KY 42501			
Raceland Worthington High School	500 Ram Blvd	Raceland	 KY 41169			
Raceland Worthington High School	383 High School Dr	Shepherdsville	 KY 40165			
Rockcastle County High School	1545 Hwy 461	Mount Vernon	 KY 40456			
Rowan County Senior High School	499 Viking Drive	Morehead	 KY 40351			
Russell County High School	2166 S Hwy 127	Russell Springs	 KY 42642			
Russellville High School	1101 W 9th St	Russellville	 KY 42276			
Sacred Heart Academy	3175 Lexington Road	Louisville	 KY 40206			
Saint Xavier High School	1609 Poplar Level Road	Louisville	 KY 40217			
Sayre High School	194 N Limestone	Lexington	 KY 40507			
Scott County High School	1080 Cardinal Dr	Georgetown	 KY 40324			
Scott High School	5400 Old Taylor Mill Rd	Taylor Mill	 KY 41015			
Seneca High School	3510 Goldsmith Lane	Louisville	 KY 40220			
Shawnee High School	4018 West Market Street	Louisville	 KY 40212			
Shelby County High School	1701 Frankfort Rd	Shelbyville	 KY 40065			
Shelby Valley High School	125 Douglas Park	Pikeville	 KY 41501			
Sheldon Clark High School	Hc 63 Box 810	Inez	 KY 41224			
Simon Kenton High School	11132 Madison Pk	Independence	 KY 41051			
South Floyd High School	299 Mt Raider Dr Ste 101	Hi Hat	 KY 41636			
South Oldham High School	5900 Hwy 329 Bypass	Crestwood	 KY 40014			
Southern High School	8620 Preston Highway	Louisville	 KY 40219			
Southwestern Pulaski County High School	1765 Wtlo Rd	Somerset	 KY 42503			
Tates Creek High School	1111 Centre Pkwy	Lexington	 KY 40517			
Taylor County High School	300 Ingram Ave	Campbellsville	 KY 42718			
Todd County Central High School	806 S Main St	Elkton	 KY 42220			
Trigg County High School	203 Main Street	Cadiz	 KY 42211			
Trimble County High School	1029 Hwy 421n	Bedford	 KY 40006			
Trinity High School	4011 Shelbyville Road	Louisville	 KY 40207			
Union County High School	4464 Us Hwy 60w	Morganfield	 KY 42437			
Valley Traditional High School	10200 Dixie Highway	Louisville	 KY 40272			
Villa Madonna Academy High School	2500 Amsterdam Rd # 1	Villa Hills	 KY 41017			
Waggener Traditional High School	330 S. Hubbards Lane	Louisville	 KY 40207			
Walton Verona High School	30 School Rd	Walton	 KY 41094			
Warren Central High School	559 Morgantown Rd	Bowling Green	 KY 42101			
Wayne County High School	2 Kenny Davis Blvd	Monticello	 KY 42633			
Webster County High School	1922 Us Hwy 41a South	Dixon	 KY 42409			
West Carter County High School	365 West Carter Drive	Olive Hill	 KY 41164			
West Jessamine High School	2101 Wilmore Rd	Nicholasville	 KY 40356			
C.E. Byrd High School	3201 Line Avenue	Caddo Parish				
Cabrini High School	1400 Moss Street	Orleans Parish				
Caddo Parish Magnet High School	1601 Viking Drive	Caddo Parish				
Caldwell Parish High School	163 Spartan Drive	Caldwell Parish				
Calvin High School	223 Second Street	Winn Parish				
Captain Shreve High School	6115 East Kings Highway	Caddo Parish				
Carencro High School	721 West Butcher Switch Road	Lafayette Parish				
Carroll High School	2939 Renwick Street	Monroe	 LA 71201			
Castor High School	140 Front Street	Bienville Parish				
Catholic High School	855 Hearthstone Drive	East Baton Rouge Parish				
Cecilia High School	2397 Cecilia Sr. High Sch Hwy	Cecilia	 LA 70521			
Centerville High School	9225 Highway 182 West	St. Mary Parish				
Central Catholic High School	2100 Cedar Street Unit 1	St. Mary Parish				
Central High School	10200 East Brookside Drive	Baton Rouge	 LA 70805			
Central Lafourche High School	4820 Highway 1	Lafourche Parish				
Choudrant High School	2555 Highway 80	Lincoln Parish				
Church Point High School	305 East Lougarre Street	Acadia Parish				
Claiborne Academy	6741 Highway 79	Haynesville	 LA 71038			
Claiborne Christian School	334 Laird Street	West Monroe	 LA 71291			
Clinton High School	P.O. Box 426	10410 Plank Road				
Comeaux High School	100 West Bluebird Drive	Lafayette Parish				
Community Christian Academy	400 N River Rd	Denham Springs	 LA 70726			
Converse High School	400 Wildcat Drive	Sabine Parish				
Covington High School	73030 Lion Drive	St. Tammany Parish				
Crowley High School	263 Hensgens Road	Acadia Parish				
Crowville High School	139 School Road	Franklin Parish				
Davidson High School	720 Plank Road	Tensas Parish				
De la Salle High School	5300 Saint Charles Avenue	Orleans Parish				
Delcambre High School	601 West Main Street	Vermilion Parish				
Delhi High School	413 Main Street	Richland Parish				
Delta High School	7661 Mer Rouge Collinston Road	Morehouse Parish				
Denham Springs High School	1000 North Range Avenue	Livingston Parish				
Dequincy High School	207 North Overton Street	Calcasieu Parish				
Deridder High School	723 O`neal Street	Beauregard Parish				
Desire Street Academy	3600 Desire Parkway	New Orleans	 LA 70126			
Destrehan High School	#1 Wildcat Lane	St. Charles Parish				
Dodson High School	305 Jones Street	Winn Parish				
Donaldsonville High School	100 Tiger Drive	Ascension Parish				
Downsville High School	4787 Highway 151	Union Parish				
Doyle High School	20480 Circle Drive	Livingston Parish				
Dubach High School	7710 Fellowship Rd.	Dubach	 La 71235			
Dutchtown High School	13165 Highway 73	Geismar	 LA 70734			
E D White Catholic High School	555 Cardinal Drive	Thibodaux	 LA 70301			
East Ascension High School	612 East Worthey Road	Ascension Parish				
East Jefferson High School	400 Phlox Street	Jefferson Parish				
East St. John High School	#1 Wildcat Drive	St. John the Baptist Parish				
Ebarb High School	5340 Highway 482	Sabine Parish				
Ecole Classique High School	5236 Glendale Street	Jefferson Parish				
Edna Karr Magnet School	3332 Huntlee Drive	Orleans Parish				
Ellender Memorial High School	3012 Patriot Drive	Terrebonne Parish				
Fair Park High School	3222 Greenwood Road	Shreveport	 LA 71109			
Farmerville High School	300 Anthony Street	Farmerville	 LA 71241			
Ferriday High School	801 E E Wallace Boulevard	Concordia Parish				
Fisher High School	2529 Jean Lafitte Boulevard	Jefferson Parish				
Florien High School	500 High School Drive	Sabine Parish				
Fontainebleau High School	100 Bulldog Drive	St. Tammany Parish				
Franklin Senior High School	1401 Cynthia Street	St. Mary Parish				
Franklinton High School	1 Demon Circle	Washington Parish				
French Settlement High School	15875 La Highway 16	Livingston Parish				
Glen Oaks High School	6650 Cedar Grove Dr.	Baton Rouge	 LA 70812			
Glenmora High School	1414 Seventh Street	Rapides Parish				
Grace King High School	4301 Grace King Place	Jefferson Parish				
Grand Lake High School	1039 Highway 384 Grand Lake	Calcasieu Parish				
Grant High School	17779 Highway 167	Dry Prong	 LA 71423			
Green Oaks High School	2550 Thomas E. Howard Drive	Shreveport	 LA 71107			
Gueydan High School	901 Main Street	Vermilion Parish				
H. L. Bourgeois High School	#1 Reservation Court	Terrebonne Parish				
Hackberry High School	1390 School Street	Cameron Parish				
Hahnville High School	200 Tiger Drive	St. Charles Parish				
Hamilton Christian Academy	1415 8th Street	Calcasieu Parish				
Hammond High School	45168 River Road	Tangipahoa Parish				
Hanson Memorial High School	903 Anderson St.	Franklin	 LA 70538			
Harrisonburg High School	800 Bushley Street	Catahoula Parish				
Hathaway High School	4040 Pine Island Highway	Jefferson Davis Parish				
Haughton High School	210 East McKinley Avenue	Bossier Parish				
Helen Cox Junior High School	2200 Lapalco Blvd	Harvey	 LA 70058			
Hicks High School	1296 Hicks School Road	Vernon Parish				
Holden High School	30120 Highway 441	Livingston Parish				
Holy Cross Middle School	5500 Paris Avenue	New Orleans	 LA 70122-2659			
Holy Savior Menard High School	4603 Coliseum Blvd	New Orleans	 LA 70122			
Homer High School	1008 North Main Street	Homer	 LA 71040			
Huntington High School	6801 Rasberry Lane	Shreveport	 LA 71129			
Hyatt High School	6249 Highway 109	Beauregard Parish				
Immaculata High School	537 Avenue D	Marrero	 LA 70072			
Independence High School	270 Tiger Avenue	Independence	 LA 70443			
Iota High School	456 South Fifth Street	Iota	 LA 70543			
Iowa High School	401 Miller Avenue	Calcasieu Parish				
Istrouma High School	3730 Winbourne Avenue	Baton Rouge	 LA 70805			
Jackson High School	3501 Highway 10	Jackson	 LA 70748			
Jeanerette Senior High School	8217 East Old Spanish Trail	Iberia Parish				
Jena High School	243 East High School Drive	La Salle Parish				
Jennings High School	620 Florence Street	Jefferson Davis Parish				
Jesuit High School	4133 Banks St	Orleans Parish				
Jewel M. Sumner High School	15841 Hwy. 440	Kentwood	 LA 70444			
John Ehret High School	4300 Patriot Street	Jefferson Parish				
Johnson Bayou High School	6304 Gulf Beach Highway	Cameron Parish				
Jonesboro-hodge High School	225 Pershing Highway	Jonesboro	 LA. 71251			
Kaplan High School	200 East Pirate Lane	Vermilion Parish				
Kentwood High School	603 Ninth Street	Tangipahoa Parish				
Kinder High School	145 Highway 383	Kinder	 LA 70648			
L.W. Higgins High School	7201 Lapalco Boulevard	Jefferson Parish				
Lacassine High School	409 Algonia Avenue	Jefferson Davis Parish				
Lafayette High School	3000 West Congress Street	Lafayette Parish				
Lagrange High School	3420 Louisiana Avenue	Calcasieu Parish				
Lake Arthur High School	4374 Tiger Lane	Jefferson Davis Parish				
Lake Charles Boston High School	1509 Enterprise Boulevard	Calcasieu Parish				
Lake Providence High School	602 Martin Luther King Drive	East Carroll Parish				
Lakeside Junior-Senior High School	9090 Highway 371	Sibley	 LA 71073			
Lakeview Junior-senior High School	7305 Highway 9	Campti	 LA 71411			
Lakewood Christian Academy	2520 West Sale Rd	Lake Charles	 LA 70605			
Lasalle High School	1460 Blake Street	La Salle Parish				
Lawless High School	5300 Law Street	Orleans Parish				
Leesville High School	502 Berry Avenue	Leesville	 LA 71446			
Live Oak High School	35086 Old Highway 16	Livingston Parish				
Livonia High School	3118 LA Highway 78	P.O. Box 549				
Logansport High School	17228 Highway 5	De Soto Parish				
Loranger High School	19404 Hiatt Street	Tangipahoa Parish				
Loreauville High School	410 North Main Street	Iberia Parish				
Louisiana School for the Deaf	2888 Brightside Lane	East Baton Rouge Parish				
Lutcher High School	1910 West Main Street	St. James Parish				
Lutheran High School	3864 Seventeenth Street	Metairie	 LA 70002			
Mandeville High School	#1 Skipper Drive	St. Tammany Parish				
Mangham High School	810 Main Street	Richland Parish				
Mansfield High School	401 Kings Highway	Mansfield	 LA 71052			
Many High School	100 Tiger Drive	Sabine Parish				
Marksville High School	407 West Bon Tempt Street	Avoyelles Parish				
Maurepas High School	25125 Highway 22	Livingston Parish				
McDonogh #35 Senior High School	1331 Kerlerec Street	Orleans Parish				
Mckinley Senior High School	800 East McKinley Street	Baton Rouge	 LA 70802			
Merryville High School	7061 Highway 110 West	Beauregard Parish				
Midland High School	735 South Crocker Street	Acadia Parish				
Minden High School	400 College St		Minden	 LA 71055		
Monterey High School	5920 Highway 129	Concordia Parish				
Montgomery High School	900 Harrison Drive	Montgomery	 LA 71454			
Monticello High School	1046 Highway 577	East Carroll Parish				
Morgan City High School	2400 Tiger Drive	St. Mary Parish				
Mount Carmel Academy	7027 Milne Blvd	New Orleans	 LA 70124			
Natchitoches Central High School	200 Highway 3110 South Bypass	Natchitoches	 LA 71457			
Nazarene Christian Academy	1517 North Pine	Vivian	 LA 71082			
Neville High School	600 Forsythe Avenue	Ouachita Parish				
New Iberia Senior High School	1301 East Admiral Doyle Drive	Iberia Parish				
Newellton High School	400 Verona Street	Tensas Parish				
North Caddo High School	201 Airport Drive	Vivian	 LA 71082			
North Central High School	6579 Highway 10	Washington	 LA 7058			
North Desoto High School	2571 Highway 171	Stonewall	 LA 71078			
North Iberville High School	13770 Highway 77	Iberville Parish				
North Vermilion High School	11609 La Highway 699	Vermilion Parish				
Oak Grove High School	501 West Main Street	Oak Grove	 LA 71263			
Oak Hill High School	7362 Highway 112	Rapides Parish				
Oakdale High School	101 North 13th Street	Oakdale	 LA 71463			
Oberlin High School	1 Tiger Lane	Allen Parish				
Opelousas Senior High School	1014 Judson Walsh Drive		Opelousas	 LA 70570		
Ouachita Christian School	7065 Us Hwy 165 N	Monroe	 LA 71203			
Parkway High School	4301 Panther Drive	Bossier Parish				
Patterson High School	2525 Main Street	St. Mary Parish				
Peabody Magnet High School	2727 Jones Street	Rapides Parish				
Pearl River High School	39110 Rebel Lane	St. Tammany Parish				
Pecan Island High School	28902 West La Highway 82	Vermilion Parish				
Pickering High School	180 Lebleu Road	Vernon Parish				
Pine Prairie High School	27164 Highway 62	Washington Parish				
Pineville High School	1511 Line Street	Rapides Parish				
Pitkin High School	7239 Highway 463	Vernon Parish				
Plain Dealing High School	300 East Vance Street	Bossier Parish				
Plainview High School	10935 Highway 112	Rapides Parish				
Plaquemine High School	59595 Belleview Drive	Iberville Parish				
Ponchatoula High School	19452 Highway 22 East	Tangipahoa Parish				
Port Allen High School	3553 Rosedale Road	West Baton Rouge Parish				
Port Barre High School	846 Saizan Ave	Port Barre	 LA 70577			
Rabouin High School	727 Carondelet Street	Orleans Parish				
Rapides High School	9463 Highway 71 South	Rapides Parish				
Rayne High School	1016 North Polk Street	Acadia Parish				
Rayville High School	193 Highway 3048	Richland Parish				
Red River High School	915 East Carroll Street	Coushatta	 LA 71019			
Redemptorist High School	4000 St. Gerard Avenue	Baton Rouge	 LA 70805			
Reuben Mc Call Jr High School	900 W Askew St	Tallulah	 LA 71282			
Richwood High School	5901 Highway 165 South	Monroe	 LA 71202			
Ringgold High School	4044 Bienville Road	 Suite B	Bienville Parish			
Riverdale High School	240 Riverdale Drive	Jefferson Parish				
Riverfield Academy	115 Wood St.	Richland Parish				
Robert E. Lee High School	1105 Lee Drive	Baton Rouge	 LA 70808			
Rosepine High School	502 Louisiana Ave	Rosepine	 LA 70659			
Ruston High School	900 Bearcat Drive	Ruston	 LA 71270			
Saline High School	1255 Cooper Street	Bienville Parish				
Salmen High School	300 Spartan Drive	St. Tammany Parish				
Sam Houston High School	880 S H Jones Parkway	Lake Charles	 LA 70611			
Sarepta High School	6041 Highway 2	Webster Parish				
Scotlandville Magnet High School	9870 Scotland Avenue	Baton Rouge	 LA 70807			
Sicily Island High School	P. O. Box 128	Sicily Island	 LA 71368			
Simsboro High School	1 Tiger Drive	Lincoln Parish				
Singer High School	153 Highway 110 East	Beauregard Parish				
Slidell High School	#1 Tiger Drive	St. Tammany Parish				
South Beauregard High School	151 Longville Church Road	Beauregard Parish				
South Cameron High School	753 Oak Grove Highway	Cameron Parish				
South Lafourche High School	16911 East Main Street	Lafourche Parish				
South Terrebonne High School	3879 Highway 24	Terrebonne Parish				
Southwood High School	9000 Walker Road	Caddo Parish				
Springfield High School	32000 Highway 42	Livingston Parish				
Springhill High School	507 West Church Street	Springhill	 LA 71075			
Springville High School	400 Mill Avenue	Springville	 IA 52336			
St Frederick High School	3300 Westminister Ave	Monroe	 LA 71201			
St. Amant High School	12035 Highway 431	Ascension Parish				
St. Augustine High School	2600 A P Tureaud Avenue	Orleans Parish				
St. Charles Catholic High School	100 Dominican Drive	St. John the Baptist Parish				
St. Edmund Catholic School	351 West Magnolia Ave	St. Landry Parish				
St. Helena Central High School	14340 Highway 37	Greensburg	 LA 70441			
St. James High School	5181 Wildcat Street	St. James Parish				
St. Joseph Elem. High School	4306 Hwy. 107 South	Plaucheville	 La 71362			
St. Josephs Academy	3015 Broussard Street	East Baton Rouge Parish				
St. Louis Catholic High School	1620 Bank Street	Lake Charles	 LA 70601			
St. Martinville Senior High School	762 North Main Street	Saint Martinville	 LA 70582			
St. Thomas Aquinas High School	14520 Voss Drive	Tangipahoa Parish				
Starks High School	137 Highway 109	Calcasieu Parish				
Sterlington High School	233 Keystone Rd	St. Landry Parish				
Sulphur High School	100 Sycamore Street	Calcasieu Parish				
Tangipahoa Parish PM High School	411 Crystal Street	Tangipahoa Parish				
Tara High School	9002 Whitehall Avenue	Baton Rouge	 LA 70806			
Terrebonne High School	7318 Main Street	Terrebonne Parish				
Terrebonne Votech High School	3051 Patriot Drive	Terrebonne Parish				
Teurlings Catholic High School	139 Teurlings Drive		Lafayette	 Louisiana 70501		
Thibodaux High School	1355 Tiger Drive	Lafourche Parish				
Tioga High School	1207 Tioga Road	Rapides Parish				
Vandebilt Catholic High School	209 S. Hollywood Rd.1	Houma	 LA 70360			
Varnado High School	25543 Washington Street	Washington Parish				
Vermilion Catholic High School	425 Park Ave	Abbeville	 LA 70510			
Vidalia High School	2201 Murray Drive	Concordia Parish				
Vinton High School	1603 Grace Street	Calcasieu Parish				
Vocational Technical High	3051 Patriot Drive	Houma	 LA 70363			
Walker High School	12646 Burgess Avenue	Livingston Parish				
Washington/Marion Magnet High School	2802 Pineview Street	Calcasieu Parish				
Welsh High School	306 East Bourgeois Street	Jefferson Davis Parish				
West Feliciana High School	P.O. Box 580	8604 Hwy 61N				
West Jefferson High School	2200 8th Street	Jefferson Parish				
Hall-Dale High School	97 Maple Street	Farmingdale	 ME 04344			
Hampden Academy	1 Main Road N	Hampden	 ME 04444			
Hancock County Technical Center	112 Boggy Brook Road	Ellsworth	 ME 04605			
Hebron Academy	P.O. Box 309	Hebron	 ME 04238			
Hermon High School	2415 Route 2	Hermon	 ME 04401			
Hodgdon High School	174 Hodgdon Mills Road	Hodgdon	 ME 04730-4278			
Houlton High School	7 Bird Street	Houlton	 ME 04730			
Jay High School	33 Community Drive	Jay	 ME 04239			
John Bapst Mem High School	100 Broadway	Bangor	 ME 04401			
Katahdin Middle-high School	800 Station Road	Stacyville	 ME 4782			
Kennebunk High School	89 Fletcher Street	Kennebunk	 ME 04043			
Kents Hill School	Mount Vernon Rd	Readfield	 ME 04355			
Lake Region High School	1877 Roosevelt Trail	Naples	 ME 04055			
Lawrence High School	9 School Street	Fairfield	 ME 04937			
Leavitt Area High School	21 Matthews Way	Turner	 Maine 04282			
Lee Academy	4 Winn Road	Lee	 ME 04455			
Lewiston High School	156 East Avenue	Lewiston	 ME 04240			
Liberty High School	P.O. Box 857	Blue Hill	 ME 04614			
Lincoln Academy	81 Academy Hill P.O. Box 382	Newcastle	 ME 04553			
Lisbon High School	591 Lisbon Road	Lisbon	 ME 04252			
Livermore Falls High School	25 Cedar St	Livermore Falls	 ME 04254			
Lubec Consolidated School	44 South Street	Lubec	 ME 04652			
Machias Memorial High School	109 Court Street	Machias	 ME 04654			
Madawaska High School	135 Seventh Avenue	Madawaska	 ME 04756			
Madison Area Memorial High School	486 Main Street	Madison	 ME 04950			
Maranacook Community High School	2250 Millard Harrison Drive	Readfield	 ME 04355			
Marshwood High School	260 Route 236	South Berwick	 ME 03908			
Massabesic High School	West Road P.O. Box 500	Waterboro	 ME 04087			
Medomak Valley High School	320 Manktown Road	Waldoboro	 ME 04572			
Messalonskee High School	131 Messalonskee High Drive	Oakland	 ME 4963			
Monmouth Academy	96 Academy Street	Monmouth	 ME 4259			
Morse High School	826 High Street	Bath	 ME 04530			
Mount Ararat High School	73 Eagles Way	Topsham	 ME 04086			
Mount Blue High School	129 Seamon Road	Farmington	 ME 04938			
Mount Desert Island High School	1081 Eagle Lake Rd P.O. Box 180	Bar Harbor	 ME 04660			
Mount View High School	577 Mount View Road	Thorndike	 ME 04986			
Mountain Valley High School	799 Hancock Street	Rumford	 ME 04276			
Mt. Abram High School	RR #1 Box 760	Strong	 ME 04983			
Narraguagus High School	Rr 1 Box 489	Harrington	 ME 04643			
Noble High School	388 Somersworth Road	North Berwick	 ME 03906			
Nokomis Regional High	266 Williams Rd P.O. Box 100	Newport	 ME 04953			
North Haven Community School	Rr 1 Box 699	North Haven	 ME 04853			
North Yarmouth Academy	148 Main St	Yarmouth	 ME 04096			
Oak Hill High School	56 School Road	Wales	 ME. 04280			
Oak Hill High School	56 School Road	Wales	 ME. 04280			
Old Orchard Beach High School	40 E. Emerson Cummings Boulevard	Old Orchard Beach	 ME 04064			
Old Orchard Beach High School	40 E. Emerson Cummings Boulevard	Old Orchard Beach	 ME 04064			
Old Town High School	203 Stillwater Avenue	Old Town	 ME 04468			
Old Town High School	203 Stillwater Avenue	Old Town	 ME 04468			
Orono High School	14 Goodridge Drive	Orono	 ME 04473			
Penobscot Valley High School	Cross St P.O. Box 328	Howland	 ME 04448			
Penobscot Valley High School	Cross St P.O. Box 328	Howland	 ME 04448			
Penquis Valley High School	48 Penquis Loop	Milo	 ME 04463			
Penquis Valley High School	48 Penquis Loop	Milo	 ME 04463			
Pine Tree Academy	67 Pownal Rd	Freeport	 ME 04032-5711			
Pine Tree Academy	67 Pownal Rd	Freeport	 ME 04032-5711			
Piscataquis Community High School	9 Campus Drive	Guilford	 ME 04443			
Piscataquis Community High School	9 Campus Drive	Guilford	 ME 04443			
Poland Regional High School	1457 Maine Street	Poland	 ME 04274			
Poland Regional High School	1457 Maine Street	Poland	 ME 04274			
Poland Spring Academy	14 Hope Springs Road	Poland	 Maine 04274			
Poland Spring Academy	14 Hope Springs Road	Poland	 Maine 04274			
Portland Arts  & Technology High School	196 Allen Ave.	Portland	 ME 04103			
Portland Arts  & Technology High School	196 Allen Ave.	Portland	 ME 04103			
Portland High School	284 Cumberland Avenue	Portland	 ME 04101			
Portland High School	284 Cumberland Avenue	Portland	 ME 04101			
Presque Isle High School	16 Griffin Street	Presque Isle	 ME 04769			
Presque Isle High School	16 Griffin Street	Presque Isle	 ME 04769			
Richmond High School	132 Main Street	Richmond	 ME 04357			
Richmond High School	132 Main Street	Richmond	 ME 04357			
Riverview Memorial School	201 Mercer Rd	Norridgewock	 ME 04957-4002			
Riverview Memorial School	201 Mercer Rd	Norridgewock	 ME 04957-4002			
Robert W Traip Academy	12 Williams Avenue	Kittery	 ME 3904			
Robert W Traip Academy	12 Williams Avenue	Kittery	 ME 3904			
Rockland District High School	400 Broadway	Rockland	 ME 4841			
Rockland District High School	400 Broadway	Rockland	 ME 4841			
Sacopee Valley High School	115 So Hiram Road	Hiram	 ME 04041			
Sacopee Valley High School	115 So Hiram Road	Hiram	 ME 04041			
Sanford High School	52 Sanford High School Boulevard	Sanford	 ME 04073			
Sanford High School	52 Sanford High School Boulevard	Sanford	 ME 04073			
Scarborough High School	11 Municipal Drive	Scarborough	 ME 04074			
Scarborough High School	11 Municipal Drive	Scarborough	 ME 04074			
Schenck High School	45 North St Suite 1	East Millinocket	 ME 04430			
Schenck High School	45 North St Suite 1	East Millinocket	 ME 04430			
Seacoast Christian School	224 Main Street	PO Box 325				
Seacoast Christian School	224 Main Street	PO Box 325				
Searsport District High School	24 Mortland Road	Searsport	 ME 04974			
Searsport District High School	24 Mortland Road	Searsport	 ME 04974			
Shead High School	89 High Street	Eastport	 ME 04631			
Shead High School	89 High Street	Eastport	 ME 04631			
Skowhegan Area High School	61 Academy Circle	Skowhegan	 ME 04976			
Skowhegan Area High School	61 Academy Circle	Skowhegan	 ME 04976			
South Hope Christian School	142 Main Street	Hope	 Maine 04847			
South Hope Christian School	142 Main Street	Hope	 Maine 04847			
South Portland High School	637 Highland Avenue	South Portland	 ME 04106			
South Portland High School	637 Highland Avenue	South Portland	 ME 04106			
St. Dominic Regional High School	121 Gracelawn Rd	Auburn	 ME 04210			
St. Dominic Regional High School	121 Gracelawn Rd	Auburn	 ME 04210			
Stearns High School	199 State Street	Millinocket	 ME 4462			
Stearns High School	199 State Street	Millinocket	 ME 4462			
Oak Hill High School	56 School Road	Wales	 ME. 04280			
Oak Hill High School	56 School Road	Wales	 ME. 04280			
Old Orchard Beach High School	40 E. Emerson Cummings Boulevard	Old Orchard Beach	 ME 04064			
Old Orchard Beach High School	40 E. Emerson Cummings Boulevard	Old Orchard Beach	 ME 04064			
Old Town High School	203 Stillwater Avenue	Old Town	 ME 04468			
Old Town High School	203 Stillwater Avenue	Old Town	 ME 04468			
Orono High School	14 Goodridge Drive	Orono	 ME 04473			
Orono High School	14 Goodridge Drive	Orono	 ME 04473			
Ossipee Valley Christian School	1890 North Road	Cornish	 ME 04020			
Ossipee Valley Christian School	1890 North Road	Cornish	 ME 04020			
Oxford Hills Comprehensive High School	256 Main Street	Paris	 ME 04281			
Penobscot Valley High School	Cross St P.O. Box 328	Howland	 ME 04448			
Penobscot Valley High School	Cross St P.O. Box 328	Howland	 ME 04448			
Penquis Valley High School	48 Penquis Loop	Milo	 ME 04463			
Penquis Valley High School	48 Penquis Loop	Milo	 ME 04463			
Pine Tree Academy	67 Pownal Rd	Freeport	 ME 04032-5711			
Pine Tree Academy	67 Pownal Rd	Freeport	 ME 04032-5711			
Piscataquis Community High School	9 Campus Drive	Guilford	 ME 04443			
Piscataquis Community High School	9 Campus Drive	Guilford	 ME 04443			
Poland Regional High School	1457 Maine Street	Poland	 ME 04274			
Poland Regional High School	1457 Maine Street	Poland	 ME 04274			
Poland Spring Academy	14 Hope Springs Road	Poland	 Maine 04274			
Poland Spring Academy	14 Hope Springs Road	Poland	 Maine 04274			
Portland Arts  & Technology High School	196 Allen Ave.	Portland	 ME 04103			
Portland Arts  & Technology High School	196 Allen Ave.	Portland	 ME 04103			
Portland High School	284 Cumberland Avenue	Portland	 ME 04101			
Portland High School	284 Cumberland Avenue	Portland	 ME 04101			
Presque Isle High School	16 Griffin Street	Presque Isle	 ME 04769			
Presque Isle High School	16 Griffin Street	Presque Isle	 ME 04769			
Richmond High School	132 Main Street	Richmond	 ME 04357			
Richmond High School	132 Main Street	Richmond	 ME 04357			
Riverview Memorial School	201 Mercer Rd	Norridgewock	 ME 04957-4002			
Riverview Memorial School	201 Mercer Rd	Norridgewock	 ME 04957-4002			
Robert W Traip Academy	12 Williams Avenue	Kittery	 ME 3904			
Robert W Traip Academy	12 Williams Avenue	Kittery	 ME 3904			
Rockland District High School	400 Broadway	Rockland	 ME 4841			
Rockland District High School	400 Broadway	Rockland	 ME 4841			
Sacopee Valley High School	115 So Hiram Road	Hiram	 ME 04041			
Sacopee Valley High School	115 So Hiram Road	Hiram	 ME 04041			
Sanford High School	52 Sanford High School Boulevard	Sanford	 ME 04073			
Sanford High School	52 Sanford High School Boulevard	Sanford	 ME 04073			
Scarborough High School	11 Municipal Drive	Scarborough	 ME 04074			
Scarborough High School	11 Municipal Drive	Scarborough	 ME 04074			
Schenck High School	45 North St Suite 1	East Millinocket	 ME 04430			
Schenck High School	45 North St Suite 1	East Millinocket	 ME 04430			
Seacoast Christian School	224 Main Street	PO Box 325				
Seacoast Christian School	224 Main Street	PO Box 325				
Searsport District High School	24 Mortland Road	Searsport	 ME 04974			
Searsport District High School	24 Mortland Road	Searsport	 ME 04974			
Shead High School	89 High Street	Eastport	 ME 04631			
Telstar High School	284 Walkers Mills Road	Bethel	 ME 04217			
Telstar High School	284 Walkers Mills Road	Bethel	 ME 04217			
Thornton Academy	438 Main St	Saco	 ME 04072			
Thornton Academy	438 Main St	Saco	 ME 04072			
Tri County Regional Technical Center	14 Abbott Hill Road	Dexter	 ME 04930			
Tri County Regional Technical Center	14 Abbott Hill Road	Dexter	 ME 04930			
