High School	 StreetAddress	 City	 State	 Zip		
LeFlore Magnet High School	700 Donald St	Mobile	 AL 36617			
Limestone County Area Vocational Education	505 E SANDERFER RD	ATHENS	 AL 35611			
Lincoln High School	78989 Hwy 77	Lincoln	 AL 35096			
Linden High School	321 N Main St	Linden	 AL 36748			
Lineville High School	18 W Main St	Lineville	 AL 36266			
Livingston High School	P.O. Box 40	108 North St.				
Loachapoka High School	685 Lee Road 61	Loachapoka	 AL 36865			
Locust Fork High School	77 School Rd	Locust Fork	 AL 35097			
Loveless Academic Magnet Program High School	921 W. Jeff Davis	Montgomery	 AL 36108			
Lowndes-County-Career-Technical-Center	147 MAIN ST	HAYNEVILLE	 AL 36040			
Lynn High School	531 E Main St.	Lynn	 AL 35575			
Madison County Career Academy	1275 JORDAN RD BLDG A	HUNTSVILLE	 AL 35811			
Madison County High School	174 Brock Rd.	Gurley	 Alabama 35748			
Marbury High School	2360 Highway 31 North	Deatsville	 AL 36022			
MARENGO COUNTY TECHNOLOGY CENTER	2450 E COATS AVE	LINDEN	 AL 36748			
Marion County High School	8115 U.S. Hwy 43	Guin	 AL 35563			
Marion High School	WAY 14 W	MARION	 AL 36756			
Marshall Technical School	12312 US HIGHWAY 431 S	GUNTERSVILLE	 AL 35976			
Mary G. Montgomery High School	4275 Snow Road N.	Semmes	 AL 36575S			
MATTIE T BLOUNT HIGH SCHOOL	5450 Lott Rd.	Eight Mile	 AL 36613			
Meek High School	6615 County Road 41	Arley	 AL. 35541			
MIDFIELD AREA VOCATIONAL DEPARTMENT	1600 MIDFIELD HIGH SCHOOL DR	MIDFIELD	 AL 35228			
Midfield High School	1600 High School Dr.	Midfield	 AL 35221			
Minor High School	2285 Minor Parkway	Adamsville	 AL 35005			
MONROE COUNTY AREA VOCATIONAL SCHOOL	230 TIGER DR	MONROEVILLE	 AL 36460			
MONROE COUNTY HIGH SCHOOL	212 TIGER DR	MONROEVILLE	 AL 36460			
Montevallo High School	980 Oak Street	Montevallo	 AL 35115			
New Brockton High School	210 S Tyler St	New Brockton	 AL 36351			
New Century Technology High School	300 Explorer Blvd Huntsville	 AL	HUNTSVILLE	 AL 35805		
New Hope High School	5216 Main Drive	New Hope	 Alabama 35760			
Night High School	1715 ML King Jr Blvd	Tuscaloosa	 AL 35401			
North Baldwin Center-Technology	505 W Hurricane Rd	Bay Minette	 AL 36507			
North Jackson High School	45549 US Highway 72	Stevenson	 Alabama 35772			
Northridge High School	2901 Northridge Rd.	Tuscaloosa	 AL 35406			
Northside High School	19230 Northside Rd	Northport	 AL 35475			
Northside Methodist Academy	2600 Redmond Rd	Dothan	 Alabama 36303			
Northview High School	3209 Reeves St	Dothan	 AL 36303			
Oak Mountain High School	5476 Caldwell Mill Road	Birmingham	 AL 35242			
Oakman High School	10699 MAIN ST	OAKMAN	 AL 35579			
Ohatchee High	100 Cherokee Trail	Ohatchee	 AL 36271			
Olin Vocational School	1054 AVE F	ENSLEY	 AL 35218			
Oneonta High School	27605 State Hwy 75	Oneonta	 AL 35121			
Opelika High School	300 Simmons Street	Opelika	 AL 36801			
Opp High School	502 North Maloy Street	Opp	 AL 36467			
OXFORD HIGH SCHOOL						
Parker High School	900 4th St N	Birmingham	 AL 35204			
Parrish High School	35 TORNADO ALLEY	PARRISH	 AL 35580			
Paul W Bryant High School	6315 Mary Harmon Bryant Drive 	Cottondale	 AL 35453			
Pelham High School	2500 Panther Cir	Pelham	 AL 35124			
Pell City High School	1300 Cogswell Ave	Pell City	 AL 35125			
PETER J KIRKSEY AREA VOCATIONAL CENTER	836 W End St	EUTAW	 AL  35462-2571			
Phillips High School	142 School Ave	Bear Creek	 AL 35543			
Pickens County High School						
Piedmont High School	750 Al Highway 200	Piedmont	 AL 36272			
Pike County High School	552 South Main Street	Brundidge	 Alabama 36010-2299			
Pinson Valley High School	6895 Highway 75	Pinson	 AL 35126			
PITTARD SCHOOL OF TECHNOLOGY	22401 AL HIGHWAY 21	ALPINE	 AL 35014			
Pleasant Grove High School	805 7th Ave	Pleasant Grove	 AL 35127			
Pleasant Valley High	4141 Pleasant Valley Rd.	Jacksonville	 AL 36265			
Prattville High School	1315 Upper Kingston Road	Prattville	 AL 36067			
Rain High School	3125 Dauphin Island Pkwy	Mobile	 AL 36605			
Ramsay High School	1800 13th Avenue South	Birmingham	 AL 35205			
Ranburne High School	21045 Main St	Ranburne	 AL 36273			
Randolph Area Vocational Center	WEDOWEE HIGHWAY	WEDOWEE	 AL 36278			
Robert C Hatch High School	THOMASTON RD	UNIONTOWN	 AL 36786			
