High School Name,Code,State
CENTENNIAL HIGH SCHOOL,30256,AZ
CACTUS HIGH SCHOOL,30257,AZ
DYSART HIGH SCHOOL,30258,AZ
IRONWOOD HIGH SCHOOL,30259,AZ
PEORIA HIGH SCHOOL,30260,AZ
ARIZONA SCHOOL FOR THE ARTS,30261,AZ
ARIZONA LUTHERAN ACADEMY,30262,AZ
ALHAMBRA HIGH SCHOOL,30263,AZ
BOURGADE CATHOLIC HIGH SCHOOL,30264,AZ
BROPHY COLLEGE PREPARATORY,30265,AZ
GREENWAY HIGH SCHOOL,30266,AZ
COVENANT CHRISTIAN SCHOOL,30269,AZ
BARRY GOLDWATER HIGH SCHOOL,30270,AZ
CAMELBACK HIGH SCHOOL,30275,AZ
CARL HAYDEN HIGH SCHOOL,30277,AZ
CENTRAL HIGH SCHOOL,30278,AZ
CORTEZ HIGH SCHOOL,30279,AZ
MARYVALE HIGH SCHOOL,30282,AZ
MOON VALLEY HIGH SCHOOL,30283,AZ
NORTH HIGH SCHOOL,30285,AZ
PARADISE VALLEY HIGH SCHOOL,30287,AZ
PHOENIX COUNTRY DAY SCHOOL,30288,AZ
PHOENIX CHRISTIAN JUNIOR SENIOR HIGH SCHOOL,30289,AZ
XAVIER COLLEGE PREPARATORY SCHOOL,30295,AZ
SAINT MARYS HIGH SCHOOL,30300,AZ
NORTHWEST CHRISTIAN SCHOOL,30301,AZ
ARCADIA HIGH SCHOOL,30303,AZ
SHADOW MOUNTAIN HIGH SCHOOL,30304,AZ
SCOTTSDALE CHRISTIAN ACADEMY,30305,AZ
MOUNTAIN POINTE HIGH SCHOOL,30307,AZ
METRO TECH HIGH SCHOOL,30308,AZ
SOUTH MOUNTAIN HIGH SCHOOL,30310,AZ
THUNDERBIRD HIGH SCHOOL,30312,AZ
TREVOR G BROWNE HIGH SCHOOL,30313,AZ
NORTH CANYON HIGH SCHOOL,30316,AZ
VALLEY LUTHERAN HIGH SCHOOL,30319,AZ
WASHINGTON HIGH SCHOOL,30320,AZ
WESTVIEW HIGH SCHOOL,30327,AZ
DESERT VISTA HIGH SCHOOL,30328,AZ
GATEWAY EARLY COLLEGE HIGH SCHOOL,30337,AZ
PRESCOTT HIGH SCHOOL,30345,AZ
QUEEN CREEK HIGH SCHOOL,30348,AZ
RIO RICO HIGH SCHOOL,30351,AZ
SAFFORD HIGH SCHOOL,30355,AZ
SAHUARITA HIGH SCHOOL,30357,AZ
METROPOLITAN ARTS INSTITUTE,30359,AZ
AMERI SCHOOLS ACADEMY,30361,AZ
ARIZONA AGRIBUSINESS AND EQUINE CENTER,30363,AZ
SAINT JOHNS HIGH SCHOOL,30365,AZ
SKYLINE HIGH SCHOOL,30368,AZ
SAINT MICHAEL HIGH SCHOOL,30370,AZ
TRI CITY PREPARATORY HIGH SCHOOL,30371,AZ
COPPER CANYON ACADEMY,30373,AZ
PINNACLE HIGH SCHOOL,30377,AZ
LEARNING INSTITUTE,30379,AZ
JESS SCHWARTZ JEWISH COMM SCHOOL,30382,AZ
SAN CARLOS HIGH SCHOOL,30389,AZ
SAN MANUEL HIGH SCHOOL,30390,AZ
NOTRE DAME PREPARATORY HIGH SCHOOL,30392,AZ
DESERT MOUNTAIN HIGH SCHOOL,30396,AZ
CHAPARRAL HIGH SCHOOL,30397,AZ
CORONADO HIGH SCHOOL,30398,AZ
HORIZON HIGH SCHOOL,30401,AZ
SAGUARO HIGH SCHOOL,30404,AZ
NEW SCHOOL FOR THE ARTS & ACADEMICS,30407,AZ
SEDONA RED ROCK HIGH SCHOOL,30408,AZ
VERDE VALLEY SCHOOL,30410,AZ
BABOQUIVARI HIGH SCHOOL,30416,AZ
BUENA HIGH SCHOOL,30417,AZ
SPRING RIDGE ACADEMY,30422,AZ
DESERT RIDGE HIGH SCHOOL,30424,AZ
SUNNYSLOPE HIGH SCHOOL,30425,AZ
SUPERIOR HIGH SCHOOL,30430,AZ
CORONA DEL SOL HIGH SCHOOL,30431,AZ
MARCOS DE NIZA HIGH SCHOOL,30432,AZ
MCCLINTOCK HIGH SCHOOL,30433,AZ
RED MESA HIGH SCHOOL,30434,AZ
TEMPE HIGH SCHOOL,30435,AZ
VALLEY CHRISTIAN HIGH SCHOOL,30437,AZ
TEMPE PREPARATORY ACADEMY,30444,AZ
TOLLESON UNION HIGH SCHOOL,30445,AZ
JAMES MADISON PREPARATORY SCHOOL,30447,AZ
SAN LUIS HIGH SCHOOL,30449,AZ
TOMBSTONE HIGH SCHOOL,30450,AZ
TUBA CITY HIGH SCHOOL,30452,AZ
AMPHITHEATER HIGH SCHOOL,30455,AZ
WESTWIND ACADEMY,30457,AZ
ACADEMY OF TUCSON,30466,AZ
ARIZONA COLLEGE PREPARATORY ACADEMY,30468,AZ
CANYON DEL ORO HIGH SCHOOL,30473,AZ
CATALINA HIGH SCHOOL,30475,AZ
CATALINA FOOTHILLS HIGH SCHOOL,30476,AZ
CHOLLA HIGH MAGNET SCHOOL,30478,AZ
DESERT VIEW HIGH SCHOOL,30479,AZ
DESERT CHRISTIAN HIGH SCHOOL,30483,AZ
FLOWING WELLS HIGH SCHOOL,30485,AZ
GREEN FIELDS COUNTRY DAY SCHOOL,30487,AZ
UNIVERSITY HIGH SCHOOL,30488,AZ
IMMACULATE HEART HIGH SCHOOL,30490,AZ
PUSCH RIDGE CHRISTIAN ACADEMY,30492,AZ
PALO VERDE HIGH MAGNET SCHOOL,30493,AZ
MOUNTAIN VIEW HIGH SCHOOL,30497,AZ
PUEBLO HIGH SCHOOL,30500,AZ
RINCON HIGH SCHOOL,30502,AZ
SABINO HIGH SCHOOL,30503,AZ
SAHUARO HIGH SCHOOL COUNSELING DEPARTMENT,30504,AZ
SAINT GREGORY COLLEGE PREP SCHOOL,30506,AZ
LUZ-GUERRERO EARLY COLLEGE HIGH SCHOOL,30508,AZ
HOWENSTINE HIGH MAGNET SCHOOL,30509,AZ
SALPOINTE CATHOLIC HIGH SCHOOL,30510,AZ
HASAN PREPARATORY & LEADERSHIP SCHOOL,30512,AZ
SANTA RITA HIGH SCHOOL,30513,AZ
BASIS TUCSON,30514,AZ
IRONWOOD RIDGE HIGH SCHOOL,30517,AZ
SUNNY SIDE HIGH SCHOOL,30525,AZ
TUCSON MAGNET HIGH SCHOOL,30530,AZ
ANTELOPE UNION HIGH SCHOOL,30535,AZ
VAIL HIGH SCHOOL,30537,AZ
ALCHESAY HIGH SCHOOL,30538,AZ
CIENEGA HIGH SCHOOL,30541,AZ
SAINT AUGUSTINE CATHOLIC HIGH SCHOOL,30542,AZ
WILLOW CANYON HIGH SCHOOL,30544,AZ
WICKENBURG HIGH SCHOOL,30545,AZ
WILLCOX HIGH SCHOOL,30550,AZ
EDGE CHARTER SCHOOL,30552,AZ
WILLIAMS HIGH SCHOOL,30555,AZ
WINSLOW HIGH SCHOOL,30560,AZ
SONORAN SCIENCE ACADEMY,30563,AZ
KOFA HIGH SCHOOL,30568,AZ
CIBOLA HIGH SCHOOL,30569,AZ
YUMA HIGH SCHOOL,30570,AZ
VISTA ALTERNATIVE HIGH SCHOOL,30571,AZ
YUMA CATHOLIC HIGH SCHOOL,30573,AZ
BOULDER CREEK HIGH SCHOOL,30581,AZ
VERITAS PREPARATORY ACADEMY,30583,AZ
TANQUE VERDE HIGH SCHOOL,30600,AZ
EMPIRE HIGH SCHOOL,30601,AZ
SAN MIGUEL HIGH SCHOOL,30602,AZ
CITY HIGH SCHOOL,30603,AZ
COPPER CANYON HIGH SCHOOL,30626,AZ
ALMA HIGH SCHOOL,40000,AR
ALPENA HIGH SCHOOL,40010,AR
ASHDOWN HIGH SCHOOL,40060,AR
BALD KNOB HIGH SCHOOL,40095,AR
SOUTHSIDE HIGH SCHOOL,40120,AR
BEEBE HIGH SCHOOL,40145,AR
BENTON HIGH SCHOOL,40170,AR
BENTONVILLE HIGH SCHOOL,40175,AR
BLEVINS HIGH SCHOOL,40225,AR
BLYTHEVILLE HIGH SCHOOL,40240,AR
BRADLEY HIGH SCHOOL,40268,AR
BRYANT HIGH SCHOOL,40310,AR
CABOT HIGH SCHOOL,40320,AR
CLARKSVILLE HIGH SCHOOL,40460,AR
CONWAY HIGH SCHOOL EAST,40492,AR
CORNING HIGH SCHOOL,40505,AR
DUMAS HIGH SCHOOL,40660,AR
ENGLAND HIGH SCHOOL,40730,AR
FARMINGTON HIGH SCHOOL,40760,AR
FAYETTEVILLE HIGH SCHOOL,40770,AR
FORREST CITY HIGH SCHOOL,40805,AR
NORTHSIDE HIGH SCHOOL,40835,AR
SOUTHSIDE HIGH SCHOOL,40837,AR
GRAVETTE HIGH SCHOOL,40930,AR
GREENBRIER HIGH SCHOOL,40935,AR
GREEN FOREST HIGH SCHOOL,40940,AR
GREENWOOD HIGH SCHOOL,40955,AR
HIGHLAND HIGH SCHOOL,41005,AR
FOUNTAIN LAKE HIGH SCHOOL,41144,AR
ARKANSAS SCHOOL FOR MATHEMATICS AND SCIENCE,41148,AR
LAKE HAMILTON HIGH SCHOOL,41155,AR
LAKESIDE HIGH SCHOOL,41160,AR
JONESBORO HIGH SCHOOL,41270,AR
JUNCTION CITY HIGH SCHOOL,41285,AR
CENTRAL HIGH SCHOOL,41422,AR
HALL HIGH SCHOOL,41423,AR
J A FAIR HIGH SCHOOL,41429,AR
MOUNT SAINT MARY ACADEMY,41440,AR
SOUTHWEST CHRISTIAN ACADEMY,41441,AR
PARKVIEW ARTS AND SCIENCE MAGNET HIGH SCHOOL,41443,AR
LONOKE HIGH SCHOOL,41470,AR
JOHN L MCCLELLAN HIGH SCHOOL,41485,AR
MAGNOLIA HIGH SCHOOL,41500,AR
GLEN ROSE HIGH SCHOOL,41510,AR
MANSFIELD HIGH SCHOOL,41540,AR
MENA HIGH SCHOOL,41655,AR
MORRILTON HIGH SCHOOL,41710,AR
MOUNTAINBURG HIGH SCHOOL,41735,AR
MOUNTAIN HOME HIGH SCHOOL,41740,AR
MOUNTAIN VIEW HIGH SCHOOL,41750,AR
MURFREESBORO HIGH SCHOOL,41800,AR
NETTLETON HIGH SCHOOL,41815,AR
NEWPORT HIGH SCHOOL,41830,AR
NORTH LITTLE ROCK HIGH SCHOOL WEST CAMPUS,41860,AR
OSCEOLA HIGH SCHOOL,41910,AR
GREENE COUNTY TECHNICAL HIGH SCHOOL,41950,AR
PEA RIDGE PUBLIC SCHOOL,41995,AR
WHITE HALL HIGH SCHOOL,42045,AR
PRAIRIE GROVE HIGH SCHOOL,42105,AR
HAR-BER HIGH SCHOOL,42147,AR
ROGERS HIGH SCHOOL,42165,AR
SEARCY HIGH SCHOOL,42250,AR
SPRINGDALE SENIOR HIGH SCHOOL,42315,AR
STUTTGART HIGH SCHOOL,42365,AR
SUBIACO ACADEMY,42375,AR
WILBUR D MILLS UNIVERSITY STUDIES HIGH SCHOOL,42390,AR
TRINITY CHRISTIAN SCHOOL,42404,AR
IZARD COUNTY HIGH SCHOOL,42540,AR
DE SOTO SCHOOL,42612,AR
RIVERCREST HIGH SCHOOL,42685,AR
WYNNE HIGH SCHOOL,42720,AR
HAAS HALL ACADEMY,42762,AR
AGOURA HIGH SCHOOL,50003,CA
ALAMEDA HIGH SCHOOL,50005,CA
OAK PARK HIGH SCHOOL,50006,CA
ALAMEDA COMMUNITY LEARNING CENTER,50011,CA
ENCINAL HIGH SCHOOL,50015,CA
